uid0	42,41,45,37,38,36,93,39,0,1,32,33,92,14,22,87,55,51,96,44,47,46,79,80,43,86,34,94,69,68,8,9,70,95,48,11,59,12,10,17,66,64,65,67,60,61,75,74,76,77,29,40,31,30,28,19,25,27,24,26,63,15,71,53,3,7,81,83,82,84,85,88,21,56,89,58,13,18,20,57
uid1	41,34,80,86,93,88,89,56,58,1,32,33,79,43
uid2	44,47,46,45,37,38,36,93,39,22,87,55,96,19,1,0,32,33,92,14,41,79,80,2,86,43,94,6,69,68,9,8,70,51,21,49,95,48,59,11,12,10,17,66,65,64,67,60,61,75,74,76,77,29,40,31,30,28,24,26,25,27,63,3,81,82,83,85,84,34,88,56,89,58,20,18,57,13
uid3	22,87,55,51,96,44,47,46,42,45,37,38,36,93,39,1,32,33,92,14,29,35,4,15,81,71,53,3,78,85,7,83,82,84,80,62,91,73,72,41,79,2,86,43,34,18,57,59,11,10,17,12,88,21,56,6,66,65,67,64,60,61,75,74,76,77,40,30,31,19,63,26,94,49,95
uid4	44,47,46,42,41,45,37,38,36,93,39,1,0,32,33,92,14,22,87,55,51,96,94,6,80,79,69,68,8,9,70,21,48,95,11,59,12,10,17,66,64,65,67,74,76,60,29,40,31,30,63,26,24,19,15,81,52,71,53,3,78,85,7,82,83,84,2,86,43,34,88,89,56,58,18,20,57
uid5	41,45,37,38,36,93,39,1,0,32,33,92,14,22,87,51,96,94,6,80,79,69,8,9,48,95,59,11,12,10,55,64,17,67,61,75,74,76,60,29,40,15,30,31,19,28,26,24,25,63,81,71,3,78,85,7,82,83,84,86,2,43,34,16,58,88,56,21,89,20,18,57,13,52,5
uid6	22,87,55,51,47,42,41,45,37,38,36,93,1,32,33,92,14,29,4,82,80,85,81,15,71,53,52,3,7,83,84,78,62,91,79,86,2,43,34,58,16,88,56,21,89,20,18,57,5,13,11,59,12,10,17,66,65,67,60,61,75,74,76,77,64,40,24,27,63,26,19,94,69,68,8,70,49,48,95
uid7	93,4,51,29,44,47,46,42,41,45,37,38,36,39,11,10,1,0,33,92,14,15,81,71,3,78,85,7,82,83,84,80,22,87,55,90,73,79,86,2,43,34,16,58,88,21,56,89,20,18,57,59,12,17,94,6,69,68,66,67,64,60,61,75,74,76,77,40,19,30,24,26,27,63,49,95,35
uid8	42,45,37,38,36,93,39,1,32,33,92,14,47,46,11,59,12,10,17,55,66,65,67,64,60,61,75,74,76,77,29,40,31,30,19,28,24,26,25,27,63,3,82,83,85,84,78,81,41,79,80,2,86,43,22,87,51,96,34,21,88,56,89,58,20,57,13,18,94,6,69,68,8,9,70,23,49,48,95
uid9	41
uid10	44,47,46,37,38,36,93,39,42,41,45,1,0,32,33,92,14,22,87,55,51,96,94,6,80,79,68,69,8,70,21,49,95,11,59,10,12,17,60,66,65,67,61,75,74,76,64,29,40,31,19,81,82,83,85,84,78,63,26,24,25,3,71,7,43,86,34,88,89,56,58,57
uid11	44,47,46,42,45,37,38,36,93,39,1,0,32,33,92,14,22,87,55,51,96,94,6,80,68,69,8,70,49,48,95,11,59,12,10,17,66,65,67,64,60,61,75,74,76,77,29,40,30,31,28,19,26,24,25,27,63,15,52,3,85,7,81,82,83,84,78,41,79,2,86,43,34,88,56,21,89,58,13,18,20,57,16,5
uid12	44,47,46,37,38,36,93,39,41,45,1,32,33,92,14,22,87,55,51,96,49,95,48,59,12,11,10,17,66,61,74,76,77,67,64,60,79,80,2,43,86,29,40,31,25,63,26,24,19,3,78,7,81,82,85,83,84,34,88,89,56,21,58,18,20,57,16,94,6,69,68,9
uid13	44,47,46,42,41,45,37,38,36,93,39,1,0,32,33,92,14,29,35,4,3,85,71,82,83,84,78,80,81,22,87,55,51,96,57,21,62,79,2,86,43,56,88,89,58,20,18,11,59,12,10,17,66,65,67,60,76,74,64,40,31,30,28,19,25,27,63,6,69,68,8,48,95
uid14	44,47,46,45,37,38,36,93,39,1,0,32,33,92,14,22,87,55,94,80,79,69,68,9,49,48,95,59,11,12,10,17,64,66,67,60,61,75,74,76,40,31,28,19,24,26,27,63,29,3,81,82,83,85,84,78,41,2,86,43,34,21,88,56,89,58,57,13,18,20
uid15	22,87,55,51,96,44,47,46,42,41,45,37,38,36,93,39,1,0,32,33,92,14,29,15,81,3,82,83,85,84,78,80,62,73,54,72,79,2,86,43,34,88,56,89,58,20,18,57,21,13,12,11,10,17,66,64,67,74,60,76,40,30,31,28,19,24,26,63,94,6,69,68,9,48,95
uid16	41,34,80,86,93,48,95,1,0,32,33,62,91,73,92,14
uid17	41,79,80,86,2,43,34,93,16,58,88,56,21,89,87,20,18,57,13,5,94,6,69,68,8,9,95,11,12,10,17,66,65,67,60,61
uid18	37,38,36,93,39,45,1,0,32,33,92,14,44,47,46,41,79,80,2,86,43,34,88,56,89,21,58,11,12,10,17,55,66,64,65,67,60,61,74,76,77,75,87,20,18,57,29,40,31,30,28,19,15,81,52,71,53,3,78,7,82,83,85,84,25,27,24,26,63,22,51,96,5,94,6,69,68,8,9,70,49,48,95
uid19	42,45,37,38,36,93,39,1,33,92,14,22,87,55,51,96,44,47,46,41,79,80,2,86,43,34,88,56,21,89,58,48,95,11,12,10,17,66,65,67,60,61,75,74,76,77,64,20,57,18,29,40,31,30,28,19,82,85,81,26,27,25,63,15,52,71,3,7,83,84,78,5,94,6,69,68,9,70,23,49
uid20	47,46,42,45,22,87,55,51,96,92,14,0,1,32,33,93,49,69,68,70,21,48,95,59,11,12,10,17,66,67,60,61,75,74,76,64,29,40,30,19,24,26,25,27,52,3,63,82,85,83,84,78,80,81,41,79,2,86,43,34,88,56,89,58,18,57,94,6,8
uid21	41,79,80,2,86,43,34,93,21,88,56,89,58,87,50,57,13,18,20,6,69,68,8,70,51,23,49,48,95
uid22	87,55,22,51,96,44,47,46,42,45,37,38,36,93,39,29,30,63,1,32,33,92,14,35,4,15,81,71,53,52,3,78,85,7,82,83,84,80,62,54,41,79,86,43,34,16,58,88,56,21,89,20,18,57,5,11,59,12,10,66,67,17,60,61,75,74,76,77,64,40,26,24,27,19,94,6,69,68,9,95
uid23	41,79,86,34,80,93,88,56,87,57,21,94,6,68,8,9,69,70,51,48,95,43,89,58,1,0,32,33,62,90,73,54,72
uid24	41,34,86,80,93,79,43,48,95
uid25	87,55,22,44,47,46,37,38,36,93,39,42,45,15,29,66,1,0,32,33,92,14,35,4,52,3,78,71,85,7,81,82,83,84,80,62,54,72,41,79,2,86,43,88,89,56,21,58,18,20,57,59,12,11,10,17,68,70,51,67,64,60,61,75,74,76,77,40,31,30,28,19,24,26,25,27,63,94,69,8,49,95
